"NAME","points","wins","draws","losses"
"Abkhazia","1224.26","12","12","4"
"Afghanistan","966.73","30","25","58"
"Åland Islands","1164.27","21","6","19"
"Albania","1075.85","166","146","411"
"Alderney","1040.6","3","0","16"
"Algeria","1307.87","376","253","287"
"American Samoa","806.67","6","4","64"
"Andalusia","1191.05","8","4","1"
"Andorra","507.02","10","32","244"
"Angola","1332.01","234","178","197"
"Anguilla","737.96","3","5","55"
"Antigua and Barbuda","1082.74","80","49","115"
"Arameans Suryoye","1169.89","5","2","3"
"Argentina","1580.8","1531","718","862"
"Armenia","952.46","111","87","269"
"Artsakh","1177.21","6","2","3"
"Aruba","832.88","23","30","85"
"Asturias","1155.1","1","0","0"
"Australia","1353.91","336","167","234"
"Austria","1545.56","818","440","809"
"Azerbaijan","1257.62","141","147","294"
"Bahamas","1013.88","12","7","22"
"Bahrain","1265.66","233","180","234"
"Bangladesh","815.25","65","62","152"
"Barawa","1104.04","3","0","9"
"Barbados","952.16","91","60","124"
"Basque Country","1283.13","37","11","9"
"Belarus","1383.05","238","186","311"
"Belgium","1474.55","1060","526","904"
"Belize","964.78","20","13","60"
"Benin","1097.2","65","77","156"
"Bermuda","1077.34","55","29","79"
"Bhutan","669.93","11","10","99"
"Bolivia","1387.34","395","291","747"
"Bonaire","1074.83","9","4","12"
"Bosnia and Herzegovina","1300.01","88","52","90"
"bosnia herzegovina","1141.41","118","70","146"
"Botswana","1029.01","87","94","152"
"Brazil","1646.12","1706","642","837"
"British Virgin Islands","778.93","16","14","63"
"Brittany","1164.28","6","3","3"
"Brunei","770.17","10","5","58"
"Bulgaria","1313.15","578","375","656"
"Burkina Faso","1178.38","150","132","202"
"Burma","1000.74","151","60","130"
"Burundi","1040.66","77","68","122"
"Cambodia","770.85","67","37","181"
"Cameroon","1132.13","318","224","238"
"Canada","1442.13","168","106","181"
"Canary Islands","1155.7","3","0","1"
"Cape Verde","1170.1","61","38","71"
"cape verde islands","1161.52","3","0","3"
"Cascadia","1164.33","4","1","2"
"Catalonia","1203.55","18","12","17"
"Cayman Islands","851.96","23","16","78"
"Central African Republic","979.1","22","31","73"
"Central Spain","1150.09","1","0","1"
"Chad","1078.12","40","41","94"
"Chagos Islands","1087.3","1","1","9"
"Chameria","1161.78","2","2","1"
"Chile","1396.37","731","451","787"
"China PR","1460.31","448","234","307"
"Chinese Taipei","815.84","49","33","113"
"Colombia","1528.31","741","474","656"
"Comoros","882.47","12","28","57"
"Congo","1199.43","189","138","232"
"congo dr","1371.83","173","100","108"
"Cook Islands","969.46","26","7","48"
"Corsica","1173.22","4","4","1"
"Costa Rica","1415.51","339","201","269"
"cote divoire","1281.88","113","80","88"
"County of Nice","1193.29","6","1","2"
"Crimea","1158.41","3","0","2"
"Croatia","1492.51","510","259","385"
"Cuba","1061.67","116","84","146"
"Curaçao","1047.53","134","100","148"
"Cyprus","1414.45","295","201","585"
"Czech Republic","1486.88","642","333","522"
"Czechoslovakia","1363.61","223","113","161"
"Darfur","1084.05","0","0","7"
"Denmark","1370.94","760","400","744"
"Djibouti","740.76","4","8","82"
"Dominica","817.6","43","41","116"
"Dominican Republic","1166.7","58","23","63"
"DR Congo","1289.88","183","127","156"
"East Timor","718.7","4","3","44"
"Ecuador","1528.12","572","362","737"
"Egypt","1364","545","293","304"
"El Salvador","1203.94","188","133","283"
"Ellan Vannin","1169.05","7","5","5"
"England","1827.03","1990","854","875"
"Equatorial Guinea","982.25","41","41","114"
"Eritrea","867.98","11","16","51"
"Estonia","888.46","157","155","425"
"Eswatini","932.04","46","68","118"
"Ethiopia","1141.73","169","104","195"
"Falkland Islands","1005.21","6","0","23"
"Faroe Islands","823.23","65","67","339"
"Felvidék","1144.92","3","1","4"
"Fiji","1182.57","140","54","130"
"Finland","1095.68","364","279","743"
"France","1563.81","1389","691","961"
"French Guiana","1094.82","46","32","79"
"Frøya","1006.84","6","2","22"
"Gabon","1168.64","164","123","180"
"Găgăuzia","1123.06","0","1","2"
"Galicia","1169.2","4","3","2"
"Gambia","1114.12","67","77","126"
"Georgia","1051.68","202","118","300"
"German DR","1309.65","140","66","92"
"Germany","1572.45","2228","924","1266"
"Ghana","1276.51","357","185","216"
"Gibraltar","808.7","38","18","83"
"Gotland","1104.75","11","4","15"
"Gozo","1111.39","1","0","5"
"Greece","1336.33","647","429","748"
"Greenland","1095.92","24","9","40"
"Grenada","1019.77","77","46","93"
"Guadeloupe","1090.07","104","51","110"
"Guam","840.28","23","9","69"
"Guatemala","1279.63","191","136","228"
"Guernsey","1303.08","37","17","23"
"Guinea","1247.3","203","169","210"
"Guinea Bissau","988.68","42","34","86"
"Guyana","1028.05","90","62","153"
"Haiti","1169.27","223","118","205"
"Hitra","1068.18","4","1","14"
"Honduras","1327.75","261","164","243"
"Hong Kong","1072.91","208","122","266"
"Hungary","1244.53","830","390","711"
"Iceland","1001.44","242","174","532"
"India","1001.99","214","134","276"
"Indonesia","1049.59","271","135","329"
"Iran","1410.15","431","226","225"
"Iraq","1398.64","357","219","203"
"Iraqi Kurdistan","1214.54","13","8","6"
"ireland republic","1074.19","96","109","312"
"Isle of Man","1263.96","29","4","16"
"Isle of Wight","1217.82","23","7","14"
"Israel","1308.64","374","232","422"
"Italy","1521.88","1802","894","893"
"Ivory Coast","1358.85","283","144","142"
"Jamaica","1288.02","286","151","261"
"Japan","1462.43","501","234","318"
"Jersey","1361.06","55","11","16"
"Jordan","1345.16","259","183","201"
"Kabylia","1130.62","1","2","3"
"Kárpátalja","1192.7","5","4","1"
"Kazakhstan","1308.7","134","108","213"
"Kenya","1129.88","276","178","290"
"Kernow","1171.52","6","2","3"
"Kiribati","1054.05","0","1","10"
"korea dpr","1186.52","25","9","6"
"korea republic","1458.59","232","103","131"
"Kosovo","992.16","21","14","28"
"Kuwait","1376.01","355","212","242"
"Kyrgyzstan","1024.19","82","36","115"
"Laos","712.79","32","32","121"
"Latvia","1057.95","212","163","357"
"Lebanon","1195.55","162","118","211"
"Lesotho","1010.26","51","87","142"
"Liberia","1007.41","77","65","157"
"Libya","1254.27","185","121","192"
"Liechtenstein","1094.42","38","41","208"
"Lithuania","1149.99","200","129","377"
"Luxembourg","1102.72","93","110","670"
"macao","1139.46","5","0","5"
"Macau","752.18","21","15","92"
"macedonia fyr","1076.17","84","75","163"
"Madagascar","1081.18","110","68","132"
"Madrid","1145.35","0","0","1"
"Malawi","1113.58","203","168","209"
"Malaysia","1079.07","283","189","316"
"Maldives","886.91","86","55","185"
"Mali","1175.51","276","196","266"
"Malta","1007.12","109","133","600"
"Manchukuo","1134.82","0","0","3"
"Martinique","1220.29","149","81","94"
"Matabeleland","1149.96","2","1","2"
"Mauritania","1074.47","45","61","135"
"Mauritius","846.95","78","58","159"
"Mayotte","1100.09","3","5","10"
"Menorca","1193.68","10","6","5"
"Mexico","1599.35","950","411","523"
"Micronesia","1105.06","1","0","6"
"Moldova","1094.94","129","147","305"
"Monaco","1149.86","5","3","4"
"Mongolia","830.47","22","13","63"
"Montenegro","962.75","75","66","129"
"Montserrat","926.33","9","6","32"
"Morocco","1415.6","443","282","266"
"Mozambique","1158.15","137","98","176"
"Myanmar","945.92","44","21","72"
"Namibia","1139.47","69","67","115"
"Nepal","834.54","50","46","129"
"Netherlands","1626.51","1140","584","829"
"New Caledonia","1246.62","147","40","116"
"New Zealand","1490.89","263","92","180"
"Nicaragua","930.54","29","22","138"
"Niger","1063.21","63","74","148"
"Nigeria","1295.87","440","239","267"
"Niue","1131.55","0","0","2"
"North Korea","1257.98","144","91","105"
"North Macedonia","1151.88","73","63","110"
"North Vietnam","1123.71","7","3","14"
"Northern Cyprus","1258.61","20","7","7"
"Northern Ireland","896.44","230","252","665"
"Northern Mariana Islands","947.81","2","2","20"
"Norway","1311.27","605","366","759"
"Occitania","1167.94","8","3","7"
"Oman","1131.37","211","149","257"
"Orkney","1065.05","5","0","16"
