"NAME","points","wins","draws","losses"
"afghanistan","1144.85","0","1","1"
"albania","977.65","76","75","230"
"algeria","1285.69","160","112","135"
"american samoa","1048.55","1","2","23"
"andorra","523.03","4","11","96"
"angola","1312.62","111","55","88"
"antigua and barbuda","1138.22","17","10","19"
"argentina","1300.88","1002","474","651"
"armenia","878.44","54","42","152"
"aruba","1074.66","2","3","11"
"australia","1191.5","79","55","86"
"austria","1445.58","484","266","517"
"azerbaijan","1157.56","93","78","156"
"bahamas","1148.87","1","1","1"
"bahrain","1198.99","66","39","48"
"bangladesh","1050.09","14","16","36"
"barbados","1099.07","2","1","7"
"belarus","1283.74","158","121","195"
"belgium","1374.01","719","360","632"
"belize","1085.15","1","1","10"
"benin","1060.21","5","11","20"
"bermuda","1096.37","0","3","6"
"bhutan","1026.37","3","5","31"
"bolivia","1107.75","294","178","497"
"bonaire","1156.66","2","1","1"
"bosnia herzegovina","1047.7","118","70","146"
"botswana","1061.49","12","10","30"
"brazil","1366.22","1077","443","680"
"bulgaria","1216.36","327","205","395"
"burkina faso","1108.97","24","23","45"
"burundi","1057.68","18","20","38"
"cambodia","1071.21","19","6","35"
"cameroon","1105.85","86","55","101"
"canada","1290.57","32","19","21"
"cape verde islands","1150.09","3","0","3"
"cayman islands","1038.86","4","2","18"
"central african republic","1058.64","2","9","17"
"chad","1117.36","15","13","29"
"chile","1116.17","438","290","475"
"china pr","1323.04","161","99","133"
"chinese taipei","1092.18","11","12","23"
"colombia","1248.5","526","322","469"
"comoros","1004.89","3","8","24"
"congo","1171.59","60","40","81"
"congo dr","1352.29","173","100","108"
"cook islands","1141.1","17","3","18"
"costa rica","1251.57","81","46","72"
"cote divoire","1253.34","113","80","88"
"croatia","1392.19","336","173","316"
"cuba","1130.91","1","3","3"
"curacao","1066.36","10","13","25"
"cyprus","1315.95","224","139","345"
"czech republic","1386","476","273","440"
"denmark","1272.82","396","228","474"
"djibouti","1103.81","0","1","5"
"dominica","1047.68","0","3","13"
"dominican republic","1199.57","12","7","8"
"ecuador","1248.71","416","237","501"
"egypt","1342.07","234","135","137"
"el salvador","1054.36","20","22","58"
"england","1726.07","1410","611","678"
"equatorial guinea","1005.34","11","12","41"
"eritrea","1099.4","0","0","6"
"estonia","807.08","37","47","165"
"ethiopia","1161.03","35","24","43"
"faroe islands","748.19","22","40","174"
"fiji","1147.22","43","14","46"
"finland","997.89","168","123","339"
"france","1462.84","964","511","715"
"gabon","1135.92","38","18","49"
"gambia","1120.02","15","12","27"
"georgia","954.84","128","63","179"
"germany","1471.53","1668","726","1063"
"ghana","1228.6","69","25","60"
"gibraltar","855.67","6","7","19"
"greece","1235.83","434","284","531"
"grenada","1128.22","0","0","2"
"guadeloupe","1086.32","7","7","15"
"guam","1140.47","0","0","2"
"guatemala","1130.6","32","23","52"
"guinea","1206.87","32","34","47"
"guinea bissau","1064.95","0","3","10"
"guyana","1058.77","8","8","23"
"haiti","1130.11","36","16","44"
"honduras","1193.47","51","25","73"
"hong kong","1112.49","81","35","91"
"hungary","1147.05","388","183","417"
"iceland","906.99","100","89","302"
"india","1083.93","74","43","101"
"indonesia","1099.85","63","30","89"
"iran","1232.96","156","98","126"
"iraq","1310.86","103","59","65"
"ireland republic","975.6","96","109","312"
"israel","1210.13","222","126","243"
"italy","1420.86","1371","667","739"
"jamaica","1233.77","64","22","45"
"japan","1322.36","195","91","134"
"jordan","1282.01","118","64","61"
"kazakhstan","1209.75","85","58","105"
"kenya","1137.03","29","17","48"
"korea dpr","1224.66","25","9","6"
"korea republic","1321.75","232","103","131"
"kosovo","992.93","3","4","7"
"kuwait","1299.71","118","57","66"
"kyrgyzstan","1129.23","38","13","36"
"laos","1073.15","1","6","15"
"latvia","962.53","97","68","163"
"lebanon","1149.39","87","39","89"
"lesotho","1084.24","6","7","17"
"liberia","1030.17","9","8","35"
"libya","1224.29","62","35","62"
"liechtenstein","1089.85","21","14","45"
"lithuania","1059.17","96","58","174"
"luxembourg","1014.3","55","58","347"
"macao","1152.13","5","0","5"
"macedonia fyr","983.51","84","75","163"
"madagascar","1093.94","25","20","40"
"malawi","1133.46","3","3","6"
"malaysia","1131.09","73","39","74"
"maldives","988.88","39","29","99"
"mali","1141.76","76","67","93"
"malta","924.58","58","62","314"
"martinique","1172.99","10","3","7"
"mauritania","1109.82","6","5","15"
"mauritius","1032.17","10","6","29"
"mexico","1430.92","506","210","292"
"moldova","995.92","84","88","164"
"mongolia","1092.22","3","5","15"
"montenegro","869.79","34","35","83"
"montserrat","1103.32","0","0","5"
"morocco","1389.16","194","122","136"
"mozambique","1164.96","38","22","44"
"myanmar","1022.75","39","19","63"
"namibia","1144.16","6","5","8"
"nepal","1119.7","11","15","17"
"netherlands","1525.06","736","404","617"
"new caledonia","1153.33","27","13","36"
"new zealand","1404.77","117","27","29"
"nicaragua","1016.91","1","7","22"
