"RNK","TEAM","TOTAL_POINTS","PREVIOUS_POINTS"
"149","Afghanistan","1052.24","1052"
"66","Albania","1362.09","1360"
"33","Algeria","1486.69","1488"
"191","American Samoa","900.27","900"
"158","Andorra","1034.9","1048"
"126","Angola","1135.88","1134"
"209","Anguilla","805.42","821"
"128","Antigua and Barbuda","1129.02","1127"
"8","Argentina","1641.95","1642"
"90","Armenia","1273.28","1233"
"205","Aruba","850.1","867"
"41","Australia","1457.49","1457"
"23","Austria","1523.42","1531"
"110","Azerbaijan","1168.53","1180"
"201","Bahamas","861.84","880"
"99","Bahrain","1238.89","1238"
"184","Bangladesh","917.38","917"
"162","Barbados","1010.95","1009"
"89","Belarus","1276.79","1269"
"1","Belgium","1783.38","1780"
"170","Belize","977.95","974"
"82","Benin","1293.1","1302"
"168","Bermuda","987.78","983"
"187","Bhutan","910.96","911"
"81","Bolivia","1300.11","1307"
"55","Bosnia and Herzegovina","1404.87","1410"
"150","Botswana","1051.82","1066"
"3","Brazil","1742.65","1743"
"208","British Virgin Islands","826.27","842"
"189","Brunei Darussalam","903.9","904"
"71","Bulgaria","1339.03","1350"
"60","Burkina Faso","1392.9","1391"
"142","Burundi","1075.64","1078"
"73","Cabo Verde","1330.16","1306"
"174","Cambodia","963.79","964"
"55","Cameroon","1404.87","1427"
"70","Canada","1340.56","1332"
"194","Cayman Islands","884.44","897"
"118","Central African Republic","1157.64","1171"
"179","Chad","935","947"
"19","Chile","1569.52","1567"
"77","China PR","1322.96","1323"
"141","Chinese Taipei","1078.48","1078"
"15","Colombia","1600.66","1601"
"131","Comoros","1106.44","1112"
"94","Congo","1255.88","1265"
"61","Congo DR","1376.65","1386"
"50","Costa Rica","1423.4","1427"
"59","Côte d'Ivoire","1397.77","1384"
"14","Croatia","1605.75","1617"
"181","Cuba","923.03","936"
"76","Curaçao","1323.06","1313"
"97","Cyprus","1240.78","1224"
"40","Czech Republic","1458.81","1456"
"10","Denmark","1631.55","1614"
"183","Djibouti","918.91","919"
"188","Dominica","904.26","919"
"156","Dominican Republic","1036.22","1018"
"53","Ecuador","1413.01","1409"
"46","Egypt","1432.63","1432"
"69","El Salvador","1341.24","1344"
"4","England","1686.78","1670"
"132","Equatorial Guinea","1105.2","1097"
"203","Eritrea","855.56","856"
"116","Estonia","1161.58","1180"
"154","Eswatini","1039.24","1040"
"140","Ethiopia","1079.41","1066"
"113","Faroe Islands","1165.45","1183"
"163","Fiji","996.27","996"
"54","Finland","1410.82","1411"
"2","France","1757.3","1755"
"88","Gabon","1278.1","1280"
"152","Gambia","1043.45","1034"
"91","Georgia","1259.51","1267"
"12","Germany","1609.12","1610"
"49","Ghana","1425.26","1424"
"195","Gibraltar","880.16","888"
"51","Greece","1418.7","1413"
"160","Grenada","1017.57","1015"
"198","Guam","872.83","873"
"127","Guatemala","1129.3","1112"
"72","Guinea","1331.79","1334"
"108","Guinea-Bissau","1171.19","1146"
"165","Guyana","990.65","988"
"83","Haiti","1290.62","1285"
"67","Honduras","1361.21","1367"
"144","Hong Kong","1072","1072"
"37","Hungary","1468.75","1460"
"52","Iceland","1415.99","1438"
"105","India","1184.36","1187"
"173","Indonesia","964.07","964"
"31","IR Iran","1499.52","1496"
"68","Iraq","1352.82","1348"
"85","Israel","1283.36","1279"
"7","Italy","1642.06","1625"
"45","Jamaica","1432.65","1437"
"28","Japan","1509.34","1502"
"95","Jordan","1251.63","1243"
"124","Kazakhstan","1147.35","1142"
"102","Kenya","1205.26","1187"
"109","Korea DPR","1169.96","1170"
"39","Korea Republic","1460.25","1465"
"120","Kosovo","1151.73","1155"
"148","Kuwait","1056.3","1057"
"98","Kyrgyz Republic","1240.08","1240"
"185","Laos","912.07","912"
"138","Latvia","1081.66","1082"
"93","Lebanon","1256.08","1263"
"146","Lesotho","1069.91","1072"
"151","Liberia","1047.29","1047"
"119","Libya","1156.26","1177"
"186","Liechtenstein","911.05","924"
"134","Lithuania","1102.84","1114"
"96","Luxembourg","1244.86","1235"
"182","Macau","922.1","922"
"100","Madagascar","1238.24","1257"
"115","Malawi","1162.39","1140"
"153","Malaysia","1040.02","1040"
"155","Maldives","1038.31","1038"
"57","Mali","1400.94","1412"
"175","Malta","955.89","951"
"101","Mauritania","1224.76","1207"
"172","Mauritius","964.94","965"
"11","Mexico","1629.56","1632"
"177","Moldova","948.16","950"
"192","Mongolia","896.97","906"
"64","Montenegro","1368.49","1370"
"180","Montserrat","933.64","921"
"34","Morocco","1479.32","1481"
"117","Mozambique","1161.55","1185"
"139","Myanmar","1081.26","1081"
"111","Namibia","1168.44","1143"
"171","Nepal","967.88","968"
"16","Netherlands","1598.04","1609"
"157","New Caledonia","1035.12","1035"
"122","New Zealand","1149.43","1149"
"147","Nicaragua","1060.51","1055"
"112","Niger","1165.91","1172"
"32","Nigeria","1487.16","1474"
"62","North Macedonia","1374.73","1362"
"48","Northern Ireland","1425.74","1440"
"42","Norway","1452.34","1450"
"80","Oman","1301.51","1303"
"199","Pakistan","866.81","867"
"104","Palestine","1196.8","1206"
"78","Panama","1321.97","1312"
"166","Papua New Guinea","990.55","991"
"35","Paraguay","1476.02","1476"
"27","Peru","1511.88","1512"
"125","Philippines","1135.94","1136"
"21","Poland","1549.87","1559"
"5","Portugal","1666.12","1662"
"178","Puerto Rico","938.86","942"
"58","Qatar","1397.92","1391"
"47","Republic of Ireland","1427.22","1456"
"43","Romania","1449.23","1466"
"38","Russia","1462.65","1461"
"129","Rwanda","1123.69","1103"
"193","Samoa","894.26","894"
"210","San Marino","804.71","810"
"190","São Tomé and Príncipe","903.31","914"
"65","Saudi Arabia","1364.39","1353"
"44","Scotland","1441.43","1436"
"22","Senegal","1542.45","1558"
"25","Serbia","1512.9","1492"
"200","Seychelles","865.69","866"
"114","Sierra Leone","1162.61","1165"
"159","Singapore","1020.27","1020"
"36","Slovakia","1475.24","1478"
"63","Slovenia","1369.88","1379"
"143","Solomon Islands","1072.78","1073"
"197","Somalia","879.13","879"
"75","South Africa","1325.64","1341"
"169","South Sudan","984.19","998"
"6","Spain","1648.13","1645"
"204","Sri Lanka","853.07","853"
"135","St. Kitts and Nevis","1091.12","1074"
"176","St. Lucia","953.45","953"
"167","St. Vincent and the Grenadines","989.32","986"
"123","Sudan","1149.14","1124"
"136","Suriname","1089.43","1073"
"18","Sweden","1569.81","1558"
"13","Switzerland","1606.21","1593"
"79","Syria","1304.12","1313"
"161","Tahiti","1014.27","1014"
"121","Tajikistan","1151.1","1144"
"137","Tanzania","1088.05","1087"
"106","Thailand","1178.07","1178"
"196","Timor-Leste","879.43","879"
"133","Togo","1104.14","1115"
"202","Tonga","861.81","862"
"103","Trinidad and Tobago","1201.33","1200"
"26","Tunisia","1512.88","1503"
"29","Turkey","1505.05","1487"
"130","Turkmenistan","1106.51","1107"
"206","Turks and Caicos Islands","843.65","862"
"84","Uganda","1286.76","1301"
"24","Ukraine","1515.85","1521"
"73","United Arab Emirates","1330.16","1326"
"9","Uruguay","1639.08","1639"
"207","US Virgin Islands","829.13","844"
"20","USA","1555.42","1548"
"86","Uzbekistan","1280.99","1283"
"164","Vanuatu","995.62","996"
"30","Venezuela","1500.71","1501"
"92","Vietnam","1258.06","1258"
"17","Wales","1570.36","1562"
"145","Yemen","1070.54","1071"
"87","Zambia","1280.15","1265"
"107","Zimbabwe","1175.5","1176"
