"NAME","points","wins","draws","losses"
"Abkhazia","1224.26","12","12","4"
"Afghanistan","969.89","30","24","57"
"Åland Islands","1164.27","21","6","19"
"Albania","1151.97","90","71","181"
"Alderney","1040.6","3","0","16"
"Algeria","1369.78","216","141","152"
"American Samoa","878.81","5","2","41"
"Andalusia","1191.05","8","4","1"
"Andorra","618.31","6","21","148"
"Angola","1151.57","123","123","109"
"Anguilla","737.96","3","5","55"
"Antigua and Barbuda","1051.5","63","39","96"
"Arameans Suryoye","1169.89","5","2","3"
"Argentina","1612.08","529","244","211"
"Armenia","1131.03","57","45","117"
"Artsakh","1177.21","6","2","3"
"Aruba","841.78","21","27","74"
"Asturias","1155.1","1","0","0"
"Australia","1469.57","257","112","148"
"Austria","1358.56","334","174","292"
"Azerbaijan","940.6","48","69","138"
"Bahamas","1005.83","11","6","21"
"Bahrain","1261.79","167","141","186"
"Bangladesh","828.81","51","46","116"
"Barawa","1104.04","3","0","9"
"Barbados","974.85","89","59","117"
"Basque Country","1283.13","37","11","9"
"Belarus","1090.36","80","65","116"
"Belgium","1758.81","341","166","272"
"Belize","974.03","19","12","50"
"Benin","1171.92","60","66","136"
"Bermuda","1131.47","55","26","73"
"Bhutan","742.27","8","5","68"
"Bolivia","1136.93","101","113","250"
"Bonaire","1067.53","7","3","11"
"Bosnia and Herzegovina","1300.01","88","52","90"
"Botswana","1070.05","75","84","122"
"Brazil","1791.42","629","199","157"
"British Virgin Islands","778.93","16","14","63"
"Brittany","1164.28","6","3","3"
"Brunei","770.17","10","5","58"
"Bulgaria","1173.83","251","170","261"
"Burkina Faso","1284.56","126","109","157"
"Burma","1000.74","151","60","130"
"Burundi","1026.21","59","48","84"
"Cambodia","766.56","48","31","146"
"Cameroon","1317.49","232","169","137"
"Canada","1295.35","136","87","160"
"Canary Islands","1155.7","3","0","1"
"Cape Verde","1170.1","61","38","71"
"Cascadia","1164.33","4","1","2"
"Catalonia","1203.55","18","12","17"
"Cayman Islands","875.54","19","14","60"
"Central African Republic","1005.54","20","22","56"
"Central Spain","1150.09","1","0","1"
"Chad","980.44","25","28","65"
"Chagos Islands","1087.3","1","1","9"
"Chameria","1161.78","2","2","1"
"Chile","1468.21","293","161","312"
"China PR","1316.34","287","135","174"
"Chinese Taipei","830.14","38","21","90"
"Colombia","1547.85","215","152","187"
"Comoros","965.71","9","20","33"
"Congo","1168.8","129","98","151"
"Cook Islands","950.43","9","4","30"
"Corsica","1173.22","4","4","1"
"Costa Rica","1381.03","258","155","197"
"County of Nice","1193.29","6","1","2"
"Crimea","1158.41","3","0","2"
"Croatia","1521.52","174","86","69"
"Cuba","1046.81","115","81","143"
"Curaçao","1122.97","124","87","123"
"Cyprus","1007.27","71","62","240"
"Czech Republic","1373.53","166","60","82"
"Czechoslovakia","1363.61","223","113","161"
"Darfur","1084.05","0","0","7"
"Denmark","1550.8","364","172","270"
"Djibouti","751.98","4","7","77"
"Dominica","861.69","43","38","103"
"Dominican Republic","1069.99","46","16","55"
"DR Congo","1289.88","183","127","156"
"East Timor","718.7","4","3","44"
"Ecuador","1395.73","156","125","236"
"Egypt","1382.9","311","158","167"
"El Salvador","1222.19","168","111","225"
"Ellan Vannin","1169.05","7","5","5"
"England","1631.39","580","243","197"
"Equatorial Guinea","1020.68","30","29","73"
"Eritrea","889.9","11","16","45"
"Estonia","991.14","120","108","260"
"Eswatini","932.04","46","68","118"
"Ethiopia","1078.86","134","80","152"
"Falkland Islands","1005.21","6","0","23"
"Faroe Islands","794.08","43","27","165"
"Felvidék","1144.92","3","1","4"
"Fiji","1191.97","97","40","84"
"Finland","1292.58","196","156","404"
"France","1784.1","425","180","246"
"French Guiana","1094.82","46","32","79"
"Frøya","1006.84","6","2","22"
"Gabon","1203.5","126","105","131"
"Găgăuzia","1123.06","0","1","2"
"Galicia","1169.2","4","3","2"
"Gambia","1035.6","52","65","99"
"Georgia","1094","74","55","121"
"German DR","1309.65","140","66","92"
"Germany","1682.22","560","198","203"
"Ghana","1381.98","288","160","156"
"Gibraltar","867.07","32","11","64"
"Gotland","1104.75","11","4","15"
"Gozo","1111.39","1","0","5"
"Greece","1319.23","213","145","217"
"Greenland","1095.92","24","9","40"
"Grenada","1038.91","77","46","91"
"Guadeloupe","1176.45","97","44","95"
"Guam","845.55","23","9","67"
"Guatemala","1257.44","159","113","176"
"Guernsey","1303.08","37","17","23"
"Guinea","1205.59","171","135","163"
"Guinea Bissau","1024.87","42","31","76"
"Guyana","1057.8","82","54","130"
"Haiti","1254.86","187","102","161"
"Hitra","1068.18","4","1","14"
"Honduras","1322.32","210","139","170"
"Hong Kong","1066.26","127","87","175"
"Hungary","1300.61","442","207","294"
"Iceland","1277.71","142","85","230"
